run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 3; 15; 3; 4096; 1.27954; 0.00091; 0.00005; 0.01121;  0.07303; 0.00092;  0.00092; 0.00005 ;  10719.925958 ; 2.408072 ;
 4; 15; 3; 4096; 1.28100; 0.00108; 0.00006; 0.01125;  0.07302; 0.00091;  0.00091; 0.00003 ;  10696.730167 ; 2.409558 ;
 0; 15; 3; 8192; 3.20287; 0.00110; 0.00007; 0.01128;  0.11869; 0.00175;  0.00175; 0.00003 ;  10490.993976 ; 5.036417 ;
 1; 15; 3; 8192; 3.21005; 0.00087; 0.00005; 0.01123;  0.11880; 0.00179;  0.00179; 0.00003 ;  10671.857578 ; 5.045239 ;
 2; 15; 3; 8192; 3.20207; 0.00113; 0.00007; 0.01134;  0.11939; 0.00180;  0.00180; 0.00004 ;  10742.262858 ; 5.047078 ;
 3; 15; 3; 8192; 3.20757; 0.00113; 0.00006; 0.01135;  0.11974; 0.00177;  0.00177; 0.00003 ;  10859.903604 ; 5.056927 ;
 4; 15; 3; 8192; 3.20614; 0.00109; 0.00007; 0.01140;  0.11955; 0.00177;  0.00177; 0.00003 ;  10617.356694 ; 5.053002 ;
 0; 15; 4; 1024; 0.20200; 0.02897; 0.00013; 0.03188;  0.12992; 0.00044;  0.00044; 0.00008 ;  3163.030400 ; 2.220846 ;
 1; 15; 4; 1024; 0.07266; 0.00140; 0.00009; 0.02298;  0.12807; 0.00043;  0.00043; 0.00002 ;  3200.781940 ; 2.027153 ;
 2; 15; 4; 1024; 0.07238; 0.00143; 0.00009; 0.02301;  0.12797; 0.00043;  0.00043; 0.00005 ;  3195.132345 ; 2.025345 ;
 3; 15; 4; 1024; 0.07258; 0.00140; 0.00009; 0.02305;  0.12847; 0.00043;  0.00043; 0.00003 ;  3192.223924 ; 2.033082 ;
 4; 15; 4; 1024; 0.07255; 0.00145; 0.00009; 0.02310;  0.12838; 0.00043;  0.00043; 0.00002 ;  3174.629925 ; 2.031740 ;
 0; 15; 4; 2048; 0.70861; 0.00143; 0.00010; 0.02307;  0.12980; 0.00083;  0.00083; 0.00002 ;  3149.733019 ; 2.696776 ;
 1; 15; 4; 2048; 0.71238; 0.00141; 0.00009; 0.02318;  0.12934; 0.00083;  0.00083; 0.00002 ;  3153.874726 ; 2.694042 ;
 2; 15; 4; 2048; 0.70833; 0.00138; 0.00010; 0.02317;  0.12961; 0.00083;  0.00083; 0.00003 ;  3155.531261 ; 2.693533 ;
 3; 15; 4; 2048; 0.70897; 0.00143; 0.00009; 0.02316;  0.12953; 0.00083;  0.00083; 0.00002 ;  3170.021989 ; 2.693191 ;
 4; 15; 4; 2048; 0.70867; 0.00141; 0.00009; 0.02315;  0.12961; 0.00083;  0.00083; 0.00002 ;  3175.594611 ; 2.694055 ;
 0; 15; 4; 4096; 2.00942; 0.00147; 0.00011; 0.02318;  0.15606; 0.00162;  0.00162; 0.00002 ;  3180.227821 ; 4.406965 ;
 1; 15; 4; 4096; 2.00830; 0.00134; 0.00009; 0.02314;  0.15590; 0.00162;  0.00162; 0.00002 ;  3144.258115 ; 4.403489 ;
 2; 15; 4; 4096; 2.00825; 0.00142; 0.00009; 0.02313;  0.15615; 0.00163;  0.00163; 0.00002 ;  3091.237715 ; 4.407200 ;
 3; 15; 4; 4096; 2.04664; 0.00130; 0.00010; 0.02332;  0.15678; 0.00164;  0.00164; 0.00006 ;  3162.809294 ; 4.455349 ;
 4; 15; 4; 4096; 2.00986; 0.00141; 0.00010; 0.02336;  0.15691; 0.00163;  0.00163; 0.00002 ;  3158.742450 ; 4.420647 ;
 0; 15; 4; 8192; 4.68029; 0.00133; 0.00010; 0.02347;  0.27626; 0.00326;  0.00326; 0.00003 ;  3093.061729 ; 8.913550 ;
 1; 15; 4; 8192; 4.67921; 0.00133; 0.00010; 0.02346;  0.27747; 0.00326;  0.00326; 0.00002 ;  3176.338911 ; 8.930403 ;
 2; 15; 4; 8192; 4.67842; 0.00135; 0.00011; 0.02371;  0.27785; 0.00328;  0.00328; 0.00003 ;  3124.751140 ; 8.935996 ;
 3; 15; 4; 8192; 4.70653; 0.00131; 0.00010; 0.02371;  0.27876; 0.00328;  0.00328; 0.00002 ;  3038.349150 ; 8.978108 ;
 4; 15; 4; 8192; 4.68113; 0.00133; 0.00010; 0.02369;  0.27742; 0.00328;  0.00328; 0.00002 ;  3127.429500 ; 8.932371 ;
 0; 15; 5; 1024; 0.14981; 0.01226; 0.00007; 0.01617;  0.06969; 0.00025;  0.00025; 0.00002 ;  17928.142867 ; 1.229596 ;
 1; 15; 5; 1024; 0.01449; 0.00075; 0.00005; 0.01129;  0.06602; 0.00025;  0.00025; 0.00006 ;  17286.008776 ; 1.022770 ;
 2; 15; 5; 1024; 0.01462; 0.00080; 0.00005; 0.01129;  0.06640; 0.00025;  0.00025; 0.00002 ;  17878.413947 ; 1.028533 ;
 3; 15; 5; 1024; 0.01434; 0.00085; 0.00005; 0.01136;  0.06565; 0.00024;  0.00024; 0.00003 ;  17730.110882 ; 1.017190 ;
 4; 15; 5; 1024; 0.01450; 0.00080; 0.00005; 0.01130;  0.06590; 0.00024;  0.00024; 0.00002 ;  18002.449750 ; 1.021028 ;
 0; 15; 5; 2048; 0.34187; 0.00084; 0.00005; 0.01129;  0.06629; 0.00046;  0.00046; 0.00008 ;  17589.616177 ; 1.359191 ;
 1; 15; 5; 2048; 0.34239; 0.00082; 0.00005; 0.01135;  0.06627; 0.00046;  0.00046; 0.00002 ;  17622.724456 ; 1.359292 ;
 2; 15; 5; 2048; 0.34158; 0.00083; 0.00005; 0.01137;  0.06624; 0.00046;  0.00046; 0.00002 ;  17625.459499 ; 1.358096 ;
 3; 15; 5; 2048; 0.34188; 0.00080; 0.00005; 0.01133;  0.06639; 0.00046;  0.00046; 0.00002 ;  17937.447464 ; 1.360673 ;
 4; 15; 5; 2048; 0.34215; 0.00085; 0.00005; 0.01137;  0.06624; 0.00046;  0.00046; 0.00005 ;  17548.287506 ; 1.358769 ;
 0; 15; 5; 4096; 1.29148; 0.00083; 0.00005; 0.01146;  0.07369; 0.00089;  0.00089; 0.00002 ;  17757.204037 ; 2.429608 ;
 1; 15; 5; 4096; 1.29113; 0.00083; 0.00005; 0.01145;  0.07396; 0.00090;  0.00090; 0.00006 ;  17542.360244 ; 2.433644 ;
 2; 15; 5; 4096; 1.29184; 0.00084; 0.00005; 0.01142;  0.07405; 0.00089;  0.00089; 0.00002 ;  17425.598663 ; 2.435385 ;
