run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Copy Data; Total Time ;
2; 15; 1; 4096; 0.00071; 0.01264; 0.00001; 0.00093;  4.229800e-06; 7.838133e-06; 0.20012;  0.214652 ;  
3; 15; 1; 4096; 0.00066; 0.01256; 0.00001; 0.00092;  3.924600e-06; 7.379400e-06; 0.20018;  0.214575 ;  
4; 15; 1; 4096; 0.00069; 0.01261; 0.00001; 0.00092;  4.232200e-06; 7.839533e-06; 0.19961;  0.214094 ;  
5; 15; 1; 4096; 0.00069; 0.01263; 0.00001; 0.00092;  4.078333e-06; 7.657600e-06; 0.19933;  0.213834 ;  
6; 15; 1; 4096; 0.00069; 0.01262; 0.00001; 0.00093;  4.161200e-06; 7.667333e-06; 0.19965;  0.214153 ;  
7; 15; 1; 4096; 0.00069; 0.01260; 0.00001; 0.00092;  4.032533e-06; 7.521867e-06; 0.19936;  0.213833 ;  
8; 15; 1; 4096; 0.00531; 0.01261; 0.00001; 0.00093;  5.205200e-06; 8.972533e-06; 0.19946;  0.218626 ;  
9; 15; 1; 4096; 0.00287; 0.01264; 0.00001; 0.00092;  4.844133e-06; 1.194660e-05; 0.19970;  0.216500 ;  
10; 15; 1; 4096; 0.00070; 0.01263; 0.00001; 0.00092;  5.017200e-06; 9.330267e-06; 0.19976;  0.214322 ;  
11; 15; 1; 4096; 0.00071; 0.01258; 0.00001; 0.00092;  4.926600e-06; 9.607000e-06; 0.20055;  0.215076 ;  
12; 15; 1; 4096; 0.00072; 0.01257; 0.00001; 0.00092;  4.883733e-06; 9.269267e-06; 0.20011;  0.214631 ;  
13; 15; 1; 4096; 0.00089; 0.01249; 0.00001; 0.00092;  4.762467e-06; 9.182733e-06; 0.19974;  0.214340 ;  
14; 15; 1; 4096; 0.00069; 0.01260; 0.00001; 0.00092;  4.943333e-06; 9.251000e-06; 0.20139;  0.215908 ;  
15; 15; 1; 4096; 0.00070; 0.01260; 0.00002; 0.00092;  5.763533e-06; 9.140867e-06; 0.19994;  0.214496 ;  
16; 15; 1; 4096; 0.00069; 0.01263; 0.00001; 0.00092;  4.998267e-06; 9.248267e-06; 0.19979;  0.214339 ;  
17; 15; 1; 4096; 0.00128; 0.01265; 0.00001; 0.00093;  5.038867e-06; 9.463667e-06; 0.19969;  0.214868 ;  
18; 15; 1; 4096; 0.00075; 0.01262; 0.00001; 0.00093;  4.631267e-06; 8.828400e-06; 0.19925;  0.213839 ;  
19; 15; 1; 4096; 0.00437; 0.01256; 0.00001; 0.00092;  5.310800e-06; 9.563200e-06; 0.19961;  0.217789 ;  
20; 15; 1; 4096; 0.00075; 0.01262; 0.00001; 0.00093;  4.914400e-06; 9.929533e-06; 0.19990;  0.214510 ;  
21; 15; 1; 4096; 0.00069; 0.01259; 0.00001; 0.00093;  4.956733e-06; 9.126333e-06; 0.19985;  0.214352 ;  
22; 15; 1; 4096; 0.00070; 0.01265; 0.00001; 0.00092;  4.911533e-06; 9.640867e-06; 0.20042;  0.215000 ;  
