Runs; Iterations;Problem;ants;BestSequence;RouteDistance;Time;
16;15;5;2048;0;23412.53927;0.87985; 
17;15;5;2048;0;23676.90552;0.84173; 
18;15;5;2048;0;23441.87037;0.91345; 
19;15;5;2048;0;23711.32749;0.85049; 
20;15;5;2048;0;23663.47333;0.90609; 
21;15;5;2048;0;23430.48483;0.83914; 
22;15;5;2048;0;23384.34078;0.90396; 
23;15;5;2048;0;23181.59968;0.84071; 
24;15;5;2048;0;23334.35137;0.90833; 
25;15;5;2048;0;23451.80618;0.84276; 
26;15;5;2048;0;23397.97966;0.83813; 
27;15;5;2048;0;23353.80167;0.86424; 
28;15;5;2048;0;23259.47917;0.91979; 
29;15;5;2048;0;23309.14021;0.83890; 
30;15;5;2048;0;23463.86489;0.89834; 
1;15;5;4096;0;23139.46006;0.97986; 
2;15;5;4096;0;23133.11552;0.98510; 
3;15;5;4096;0;22863.66448;0.98130; 
4;15;5;4096;0;23262.63996;0.98605; 
5;15;5;4096;0;22988.71910;1.03370; 
6;15;5;4096;0;23235.92064;0.98612; 
7;15;5;4096;0;22801.30579;0.98020; 
8;15;5;4096;0;23154.99223;0.97686; 
9;15;5;4096;0;22720.82946;0.97920; 
10;15;5;4096;0;22916.22928;1.01276; 
11;15;5;4096;0;22674.99036;0.98235; 
12;15;5;4096;0;22858.21243;1.04389; 
13;15;5;4096;0;23474.49871;1.00306; 
14;15;5;4096;0;23166.79015;0.97783; 
15;15;5;4096;0;23059.75015;1.00582; 
16;15;5;4096;0;22504.47836;0.98774; 
17;15;5;4096;0;22769.31886;1.04670; 
18;15;5;4096;0;23056.56412;0.98332; 
19;15;5;4096;0;23187.64832;0.97931; 
20;15;5;4096;0;23238.99928;0.99653; 
21;15;5;4096;0;23408.04971;1.01515; 
22;15;5;4096;0;23013.37716;1.05819; 
23;15;5;4096;0;23201.18403;1.00877; 
24;15;5;4096;0;23252.50069;1.02928; 
25;15;5;4096;0;23422.18881;0.98371; 
26;15;5;4096;0;23008.93699;0.98441; 
27;15;5;4096;0;23313.93243;1.05250; 
28;15;5;4096;0;23323.85504;0.98370; 
29;15;5;4096;0;23487.40974;0.98779; 
30;15;5;4096;0;22956.46635;1.00702; 
1;15;5;8192;0;22967.67779;1.78992; 
2;15;5;8192;0;22671.29690;1.79753; 
3;15;5;8192;0;23057.83398;1.78504; 
4;15;5;8192;0;22847.60127;1.79376; 
5;15;5;8192;0;23197.41412;1.79592; 
6;15;5;8192;0;23025.29037;1.78962; 
7;15;5;8192;0;22913.61277;1.78851; 
8;15;5;8192;0;22982.84691;1.78992; 
9;15;5;8192;0;23113.50462;1.79083; 
10;15;5;8192;0;23214.59540;1.80631; 
11;15;5;8192;0;23009.37776;1.79421; 
12;15;5;8192;0;23004.86699;1.85745; 
13;15;5;8192;0;23343.58599;1.79115; 
14;15;5;8192;0;23030.56099;1.81285; 
15;15;5;8192;0;23488.26971;1.78528; 
16;15;5;8192;0;23047.35374;1.80985; 
17;15;5;8192;0;23134.73548;1.80266; 
18;15;5;8192;0;23122.90424;1.81239; 
19;15;5;8192;0;23011.77347;1.79450; 
20;15;5;8192;0;22925.76175;1.79237; 
21;15;5;8192;0;22698.05874;1.78978; 
22;15;5;8192;0;23188.26679;1.79730; 
23;15;5;8192;0;23277.93530;1.80326; 
24;15;5;8192;0;23190.71429;1.84529; 
25;15;5;8192;0;22909.01479;1.83753; 
26;15;5;8192;0;22593.95029;1.79939; 
27;15;5;8192;0;23340.79402;1.81663; 
28;15;5;8192;0;22324.68136;1.83038; 
29;15;5;8192;0;22822.57356;1.80563; 
30;15;5;8192;0;22908.65170;1.81034; 
1;15;6;1024;0;111575.51365;47.64250; 
2;15;6;1024;0;110956.81851;47.41828; 
3;15;6;1024;0;109801.30110;47.58322; 
4;15;6;1024;0;110973.77388;47.27917; 
5;15;6;1024;0;109001.78927;47.29327; 
6;15;6;1024;0;110966.38938;47.37830; 
7;15;6;1024;0;110387.61389;47.45064; 
8;15;6;1024;0;110352.44911;47.52341; 
9;15;6;1024;0;110813.98344;47.39682; 
10;15;6;1024;0;110758.89531;47.45627; 
11;15;6;1024;0;112159.26708;47.16137; 
12;15;6;1024;0;111459.96569;47.39213; 
13;15;6;1024;0;111103.87899;47.36000; 
14;15;6;1024;0;110914.51991;47.62530; 
15;15;6;1024;0;108661.36755;47.39805; 
16;15;6;1024;0;111247.99495;47.32758; 
17;15;6;1024;0;111138.85642;47.33734; 
18;15;6;1024;0;111646.12476;47.29592; 
19;15;6;1024;0;109959.37928;47.35038; 
20;15;6;1024;0;110337.45868;47.37490; 
21;15;6;1024;0;110826.38177;47.39180; 
22;15;6;1024;0;109891.94974;47.47983; 
23;15;6;1024;0;110735.09485;47.30658; 
24;15;6;1024;0;109483.04020;47.42566; 
25;15;6;1024;0;111322.09818;47.42012; 
26;15;6;1024;0;110719.75052;47.39426; 
27;15;6;1024;0;110055.07962;47.34226; 
28;15;6;1024;0;111337.58752;47.43753; 
29;15;6;1024;0;107239.36961;47.35601; 
30;15;6;1024;0;110202.11982;47.40903; 
